event_id,event_type,event_time,vendor,order_id,transaction_id,tracking_id,amount,currency,status,region,ingested_at,quality_bucket,is_late_arrival,is_warning,is_critical,is_anomaly
061e83397e39,payment_succeeded,2026-02-19T01:06:08Z,vendor_c,ORD-260219-00049,TRX838797,,65000.0,NGN,SUCCESS,SUCCESS,2026-02-19T02:52:08Z,valid,False,False,False,False
5215dd5a914d,payment_succeeded,2026-02-19T07:40:32Z,vendor_c,ORD-260219-00011,TRX488162,,40000.0,NGN,SUCCESS,SUCCESS,2026-02-19T08:28:32Z,valid,False,False,False,False
2e9c200a9f30,payment_succeeded,2026-02-19T21:02:40Z,vendor_c,ORD-260219-00010,TRX771088,,9000.0,NGN,SUCCESS,SUCCESS,2026-02-19T22:10:40Z,valid,False,False,False,False
f71cb05bae01,payment_succeeded,2026-02-19T04:41:06Z,vendor_b,ORD-260219-00059,95ed0492f49d,,25000.0,NGN,SUCCESS,,2026-02-19T05:12:06Z,valid,False,False,False,False
af31e35bcead,payment_succeeded,2026-02-19T16:57:04Z,vendor_c,ORD-260219-00018,TRX930555,,5000.0,NGN,,,2026-02-19T18:33:04Z,valid,False,False,False,False
ddac53b7e05b,payment_succeeded,2026-02-19T16:38:02Z,vendor_c,ORD-260219-00023,TRX308573,,65000.0,NGN,SUCCESS,SUCCESS,2026-02-19T18:29:02Z,valid,False,False,False,False
6a52f1cb44a6,payment_succeeded,2026-02-19T06:06:40Z,vendor_a,ORD-260219-00055,TX-2834e70fc4f9,,9000.0,NGN,SUCCESS,,2026-02-19T07:42:40Z,valid,False,False,False,False
c7b8c7b296f4,payment_succeeded,2026-02-19T04:16:20Z,vendor_c,ORD-260219-00058,TRX330914,,25000.0,NGN,SUCCESS,SUCCESS,2026-02-19T04:24:20Z,valid,False,False,False,False
61f9d79ea499,payment_succeeded,2026-02-19T01:59:47Z,vendor_a,ORD-260219-00043,TX-07df63b37479,,9000.0,NGN,SUCCESS,,2026-02-19T02:34:47Z,valid,False,False,False,False
52ac9116284a,payment_succeeded,2026-02-19T14:03:48Z,vendor_c,ORD-260219-00011,TRX429445,,12000.0,NGN,SUCCESS,SUCCESS,2026-02-19T15:15:48Z,valid,False,False,False,False
6e8249718a74,payment_succeeded,2026-02-19T09:24:44Z,vendor_c,ORD-260219-00018,TRX320861,,9000.0,NGN,SUCCESS,SUCCESS,2026-02-19T09:37:44Z,valid,False,False,False,False
280d1280560a,payment_succeeded,2026-02-16T19:06:59Z,vendor_b,ORD-260219-00030,cd40a0200616,,65000.0,NGN,SUCCESS,,2026-02-19T08:06:59Z,warning,True,True,False,True
f79bbe02a58a,payment_succeeded,2026-02-19T11:49:24Z,vendor_c,ORD-260219-00069,TRX140115,,12000.0,NGN,SUCCESS,SUCCESS,2026-02-19T12:03:24Z,valid,False,False,False,False
bbac17378f90,payment_succeeded,2026-02-19T21:50:17Z,vendor_b,ORD-260219-00056,c402934d8b99,,25000.0,NGN,SUCCESS,,2026-02-19T22:04:17Z,valid,False,False,False,False
26a0505fc6c8,payment_succeeded,2026-02-19T11:50:39Z,vendor_a,ORD-260219-00026,TX-e4345f5c928a,,25000.0,NGN,SUCCESS,,2026-02-19T13:15:39Z,valid,False,False,False,False
2a6116083ba0,payment_succeeded,2026-02-19T13:29:03Z,vendor_b,ORD-260219-00042,51dc3f7f6bf5,,,NGN,SUCCESS,,2026-02-19T14:39:03Z,valid,False,False,False,False
aa68e859bc78,payment_succeeded,2026-02-19T01:48:00Z,vendor_b,ORD-260219-00043,a2abc4fe33af,,12000.0,NGN,SUCCESS,,2026-02-19T03:24:00Z,valid,False,False,False,False
0161813a98b2,payment_succeeded,2026-02-19T15:14:52Z,vendor_a,ORD-260219-00010,TX-ef6f9e2322a4,,40000.0,NGN,SUCCESS,,2026-02-19T16:34:52Z,valid,False,False,False,False
cdf6ecb175c3,payment_succeeded,2026-02-19T18:44:59Z,vendor_a,ORD-260219-00068,TX-c0055e22793c,,25000.0,NGN,SUCCESS,,2026-02-19T20:20:59Z,valid,False,False,False,False
5b89e030fb89,payment_succeeded,2026-02-19T15:52:11Z,vendor_c,ORD-260219-00061,TRX608136,,12000.0,NGN,SUCCESS,SUCCESS,2026-02-19T16:23:11Z,valid,False,False,False,False
d26975cfbd96,payment_succeeded,2026-02-19T07:59:34Z,vendor_b,ORD-260219-00031,dca20b02fcf8,,9000.0,NGN,SUCCESS,,2026-02-19T09:53:34Z,valid,False,False,False,False
d500dfa88f58,payment_succeeded,2026-02-19T19:38:21Z,vendor_c,ORD-260219-00043,TRX829308,,18000.0,NGN,SUCCESS,SUCCESS,2026-02-19T19:45:21Z,valid,False,False,False,False
e4fc5f6f387c,payment_succeeded,2026-02-19T09:03:19Z,vendor_c,ORD-UNKNOWN-6763,TRX870319,,65000.0,NGN,SUCCESS,SUCCESS,2026-02-19T10:52:19Z,valid,False,False,False,False
