event_id,event_type,event_time,vendor,order_id,transaction_id,tracking_id,amount,currency,status,region,ingested_at,quality_bucket,is_late_arrival,is_warning,is_critical,is_anomaly
4a674b0c053b,refund_issued,2026-02-19T05:05:46Z,vendor_b,ORD-260219-00001,,,8000.0,USD,,,2026-02-19T05:48:46Z,valid,False,False,False,False
590d525b54be,refund_issued,2026-02-18T22:59:14Z,vendor_a,ORD-260219-00068,,,12000.0,NGN,,,2026-02-19T00:01:14Z,valid,False,False,False,False
2a8b53c61a16,refund_issued,2026-02-19T14:37:14Z,vendor_c,ORD-260219-00061,,,1500.0,NGN,,,2026-02-19T14:49:14Z,valid,False,False,False,False
45f2c769699f,refund_issued,2026-02-18T23:36:22Z,vendor_b,ORD-260219-00017,,,1500.0,NGN,,,2026-02-19T01:31:22Z,valid,False,False,False,False
f1a4915b0a01,refund_issued,2026-02-18T23:34:53Z,vendor_a,ORD-260219-00071,,,9000.0,NGN,,,2026-02-19T00:00:53Z,valid,False,False,False,False
0c254a910767,refund_issued,2026-02-19T06:30:49Z,vendor_c,ORD-260219-00045,,,5000.0,NGN,,,2026-02-19T08:09:49Z,valid,False,False,False,False
cd6ec5fb426a,refund_issued,2026-02-19T05:57:25Z,vendor_c,ORD-260219-00024,,,24.9,USD,,,2026-02-19T06:58:25Z,valid,False,False,False,False
27fdf26a00cf,refund_issued,2026-02-12T14:58:49Z,vendor_c,ORD-UNKNOWN-5415,,,13000.0,NGN,,,2026-02-19T20:58:49Z,warning,True,True,False,True
1dd8170b8cc2,refund_issued,2026-02-19T00:42:44Z,vendor_b,ORD-260219-00057,,,12000.0,NGN,,,2026-02-19T01:52:44Z,valid,False,False,False,False
811a4b98a57b,refund_issued,2026-02-19T15:31:29Z,vendor_c,ORD-260219-00020,,,9000.0,NGN,,,2026-02-19T16:15:29Z,valid,False,False,False,False
9462c986f2a4,refund_issued,2026-02-19T03:05:26Z,vendor_a,ORD-260219-00030,,,3000.0,NGN,,,2026-02-19T03:17:26Z,valid,False,False,False,False
7c819e0d2299,refund_issued,2026-02-19T20:24:22Z,vendor_c,ORD-260219-00004,,,5000.0,NGN,,,2026-02-19T22:10:22Z,valid,False,False,False,False
